Layer,Inputs,Outputs,Weight Initialization,Alpha,Beta,Sigma
0,784,533,uniform,[0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02],[0.  0.  0.  0.  0.  0.9 0.9 0.9 0.9 0.9],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,533,10,uniform,[0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02],[0.  0.  0.  0.  0.  0.9 0.9 0.9 0.9 0.9],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
