,0.0,1e-05,0.0001,0.001
0,0.07083333333333333,0.11633333333333333,0.08983333333333333,0.10166666666666667
1,0.969,0.9591666666666666,0.9695,0.9725
2,0.9701666666666666,0.9736666666666667,0.9731666666666666,
3,0.975,0.9746666666666667,0.9773333333333334,
4,0.979,0.97,0.975,
5,0.98,0.9735,0.9786666666666667,
