,0,1,2,3,4,5,6,7,8,9,10
0,59999.0,0.6287166666666667,0.7109,0.6232166666666666,0.5014666666666666,0.6184333333333333,0.7484666666666666,0.6014166666666667,0.66025,0.6414,0.5534
0,119999.0,0.8166833333333333,0.8102833333333334,0.6691,0.6273,0.7991,0.89905,0.7694833333333333,0.8967,0.8289,0.7954
0,179999.0,0.82665,0.8177833333333333,0.7436666666666667,0.8269166666666666,0.9054,0.9073666666666667,0.8215333333333333,0.9073666666666667,0.9008,0.8256
0,239999.0,0.8306666666666667,0.8212166666666667,0.7469,0.8325666666666667,0.91015,0.9109166666666667,0.8251666666666667,0.9115833333333333,0.9114666666666666,0.8302333333333334
0,299999.0,0.8334833333333334,0.8234166666666667,0.7483333333333333,0.8351833333333334,0.9133166666666667,0.9136166666666666,0.8270166666666666,0.9138666666666667,0.9140833333333334,0.833
0,359999.0,0.8349833333333333,0.9043833333333333,0.7496166666666667,0.8360833333333333,0.9152833333333333,0.9152166666666667,0.8281666666666667,0.9154666666666667,0.9153833333333333,0.8348333333333333
0,419999.0,0.8364,0.9155833333333333,0.7503833333333333,0.83735,0.9161833333333333,0.9159,0.8289833333333333,0.9166166666666666,0.9166166666666666,0.83585
0,479999.0,0.8371333333333333,0.9166666666666666,0.75095,0.8381166666666666,0.91705,0.9171833333333334,0.82975,0.9174,0.9175,0.83645
0,539999.0,0.8379833333333333,0.9175666666666666,0.7512666666666666,0.8387333333333333,0.9179166666666667,0.9176333333333333,0.83035,0.91805,0.9183166666666667,0.8369666666666666
0,599999.0,0.8386666666666667,0.9180833333333334,0.7514666666666666,0.8391166666666666,0.9186666666666666,0.9183,0.8312,0.9185666666666666,0.9188166666666666,0.8375833333333333
