,-1e-09,-1e-08,-1e-07,-1e-06,-1e-05,-0.0001,-0.001,-0.01,-0.1,-1.0
0,0.10833333333333334,0.1245,0.1505,0.09383333333333334,0.068,0.10316666666666667,0.07633333333333334,0.09416666666666666,0.05483333333333333,0.0665
1,0.914,0.9053333333333333,0.9118333333333334,0.91,0.9131666666666667,0.911,0.9138333333333334,0.9161666666666667,0.9273333333333333,0.9273333333333333
2,0.924,0.9151666666666667,0.9213333333333333,0.9175,0.9225,0.9175,0.9245,0.925,0.9348333333333333,0.9315
